month,transaction_code,n_transactions,total_shares,mean_price
1988-08,P,1,0.0,0.0
2002-01,P,1,128208.0,0.13
2002-02,P,2,769230.0,0.13
2002-05,P,2,386769.0,0.16
2002-08,P,2,1200.0,1.9
2003-01,P,1,4008030.0,
2003-04,P,2,0.0,0.0
2003-04,S,1,100.0,5.0
2003-05,P,12,44383.0,10.27
2003-05,S,29,260159.0,27.67
2003-06,P,7,5683.0,14.32
2003-06,S,47,606940.0,15.37
2003-07,P,10,11250.0,6.03
2003-07,S,10,46300.0,4.32
2003-08,P,35,699566.0,4.65
2003-08,S,6,30200.0,23.9
2003-09,P,7,7547.0,12.97
2003-09,S,39,259050.0,3.17
2003-10,P,1,43000.0,6.54
2003-10,S,22,50698.0,4.73
2003-11,P,14,31555.0,17.77
2003-11,S,45,201885.0,51.7
2003-12,S,37,570720.0,19.8
2009-11,S,1,6000.0,65.02
